SNo.,Article Type,Title,Journal/Conference/Book chapter Name,Year,Vol/Issue/pages,citations,Authors
11,Conference Paper,A Machine Learning Based Approach for Progeria Syndrome Detection,"2019 4th International Conference on Information Systems and Computer Networks, ISCON 2019",2019," pp. 74–78, 9036229","2
Citations","Chandra, D., Rawat, S.S., Nijhawan, R."
12,Conference Paper,Hybrid Computational Intelligence Technique: Eczema Detection,"IEEE Region 10 Annual International Conference, Proceedings/TENCON",2019," 2019-October, pp. 2472–2474, 8929578","2
Citations","Arora, Y.K., Tandon, A., Nijhawan, R."
13,Article  •  Open Access,An integrated deep learning framework of tomato leaf disease detection,International Journal of Innovative Technology and Exploring Engineering,2019," 8(11 Special Issue), pp. 46–50","1
Citations","Khurana, J., Sharma, A., Chhabra, H.S., Nijhawan, R."
14,Article  •  Open Access,A composite deep learning access for leaf species classification,International Journal of Innovative Technology and Exploring Engineering,2019," 8(11 Special Issue), pp. 42–45","0
Citations","Rautela, Y.S., Garg, K., Chhabra, H.S., Nijhawan, R."
15,Article  •  Open Access,A research on deep learning advance for landslide classification using convolutional neural networks,International Journal of Innovative Technology and Exploring Engineering,2019," 8(6 Special Issue 4), pp. 903–906","0
Citations","Bhatt, J., Gangwar, A., Nijhawan, R., Gangodkar, D."
16,Conference Paper,Pneumonia Detection Using CNN based Feature Extraction,"Proceedings of 2019 3rd IEEE International Conference on Electrical, Computer and Communication Technologies, ICECCT 2019",2019, 8869364,"55
Citations","Varshni, D., Thakral, K., Agarwal, L., Nijhawan, R., Mittal, A."
17,Article,A hybrid of deep learning and hand-crafted features based approach for snow cover mapping,International Journal of Remote Sensing,2019," 40(2), pp. 759–773","12
Citations","Nijhawan, R., Das, J., Raman, B."
18,Article,A novel deep learning framework approach for waste segregation,Journal of Advanced Research in Dynamical and Control Systems,2019," 11(3 Special Issue), pp. 1805–1811","0
Citations","Nijhawan, R., Singh, A.K., Gangwar, A."
19,Article,A novel ada boost approach to detect out the magnitude of trash,Journal of Advanced Research in Dynamical and Control Systems,2019," 11(3 Special Issue), pp. 1855–1860","0
Citations","Chaudhary, M., Agarwal, P., Nijhawan, R."
20,Article,A novel adaboost approach for cloud type classification,Journal of Advanced Research in Dynamical and Control Systems,2019," 11(6 Special Issue), pp. 372–376","1
Citations","Alam, N., Agarwal, S., Gautam, M., Srivasata, A., Nijhawan, R."
21,Book Chapter,A Novel Deep Learning Framework Approach for Natural Calamities Detection,Lecture Notes in Networks and Systems,2019," 40, pp. 561–569","4
Citations","Nijhawan, R., Rishi, M., Tiwari, A., Dua, R."
22,Conference Paper,A futuristic deep learning framework approach for land use-land cover classification using remote sensing imagery,Advances in Intelligent Systems and Computing,2019," 702, pp. 87–96","12
Citations","Nijhawan, R., Joshi, D., Narang, N., Mittal, A., Mittal, A."
23,Article,A Hybrid CNN + Random Forest Approach to Delineate Debris Covered Glaciers Using Deep Features,Journal of the Indian Society of Remote Sensing,2018," 46(6), pp. 981–989","5
Citations","Nijhawan, R., Das, J., Balasubramanian, R."
24,Conference Paper,An integrated deep learning framework approach for nail disease identification,"Proceedings - 13th International Conference on Signal-Image Technology and Internet-Based Systems, SITIS 2017",2018," 2018-January, pp. 197–202","14
Citations","Nijhawan, R., Verma, R., Ayushi,, ...Dua, R., Mittal, A."
25,Conference Paper,A deep learning hybrid CNN framework approach for vegetation cover mapping using deep features,"Proceedings - 13th International Conference on Signal-Image Technology and Internet-Based Systems, SITIS 2017",2018," 2018-January, pp. 192–196","20
Citations","Nijhawan, R., Sharma, H., Sahni, H., Batra, A."
26,Conference Paper,Land cover classification using super-vised and unsupervised learning techniques,"ICCIDS 2017 - International Conference on Computational Intelligence in Data Science, Proceedings",2018," 2018-January, pp. 1–6","7
Citations","Nijhawan, R., Srivastava, I., Shukla, P."
27,Conference Paper,Glacier terminus position monitoring and modelling using remote sensing data,Communications in Computer and Information Science,2018," 906, pp. 11–23","0
Citations","Nijhawan, R., Jain, K."
28,Conference Paper,"Meta-classifier approach with ANN, SVM, rotation forest, and random forest for snow cover mapping",Advances in Intelligent Systems and Computing,2018," 704, pp. 279–287","7
Citations","Nijhawan, R., Raman, B., Das, J."
29,Article,Proposed hybrid-classifier ensemble algorithm to map snow cover area,Journal of Applied Remote Sensing,2018," 12(1), 016003","9
Citations","Nijhawan, R., Raman, B., Das, J."
30,Conference Paper,Impact of snow avalanche on vegetation area using remote sensing data,ACM International Conference Proceeding Series,2016," 12-13-August-2016, a20","0
Citations","Nijhawan, R., Das, J., Raman, B."
31,Conference Paper,Comparison of support vector machine and artificial neural network for delineating debris covered glacier,Communications in Computer and Information Science,2016," 628 CCIS, pp. 550–557","1
Citations","Nijhawan, R., Das, J., Balasubramanian, R."
